session_id	age	acq_time	0_back_false_positive	0_back_false_negative	0_back_true_positive	0_back_true_negative	2_back_false_positive	2_back_false_negative	2_back_true_positive	2_back_true_negative	all_back_true_positive	all_back_true_negative	all_back_false_positive	all_back_false_negative	0_back_all_correct	0_back_all_incorrect	2_back_all_correct	2_back_all_incorrect	all_back_all_correct	all_back_all_incorrect	0_back_hit_rate	0_back_false_alarm_rate	2_back_hit_rate	2_back_false_alarm_rate	all_back_hit_rate	all_back_false_alarm_rate	0_back_dprime	2_back_dprime	all_back_dprime
ses-1	13.2	1800-04-15T15:00:00	0.0	0.0	15.0	45.0	3.0	1.0	14.0	42.0	29.0	87.0	3.0	1.0	60.0	0.0	56.0	4.0	116.0	4.0	1.0	0.0	0.9333333333333332	0.0666666666666666	0.9666666666666668	0.0333333333333333	4.120462587126895	3.00217189208805	3.667829271631829
ses-2	15.05	1802-02-20T13:00:00	1.0	0.0	15.0	44.0	4.0	1.0	14.0	41.0	29.0	85.0	5.0	1.0	59.0	1.0	55.0	5.0	114.0	6.0	1.0	0.022222222222222223	0.9333333333333333	0.08888888888888889	0.9666666666666667	0.05555555555555555	3.8437894080112995	2.848714823618911	3.427133453838965
